round,clone,number,P0,A1,A0,f,ss.f,length,mm,time ,fecundity,death.age,end.size,dead,infected,susceptible,spore yield,mult.inf,mult.uninf,mult.ed,tolerant
1,Bris.112,10,393,307.7,385.9988889,9.601801776,7.265267963,59,1.149610044,0.354166667,11,14,80,1,1,0,19.5,1,0,0,No
1,Bris.112,11,393,337.46,385.9988889,5.691706143,3.899976724,62,1.208064792,0.354166667,13,17,81,1,0,1,0,0,1,0,No
1,Bris.112,12,393,383.15,385.9988889,0.313747773,0.317719027,51,0.993730716,0.354166667,10,15,76,1,1,0,17,1,0,0,No
1,Bris.112,13,393,,,,,50,0.9742458,0.354166667,17,18,83,1,0,1,0,0,1,0,No
1,Bris.112,14,393,342.93,385.9988889,5.010697958,4.525990407,54,1.052185464,0.354166667,3,18,74,1,0,1,0,0,1,0,No
1,Bris.112,15,393,333.35,385.9988889,6.210698903,5.216357468,56,1.091155296,0.354166667,11,,95,0,0,1,0,0,1,0,No
1,Bris.6,1,0,284.64,385.9988889,12.8758516,8.026979864,65,1.26651954,0.354861111,20,,100,0,0,1,,0,1,0,Yes
1,Bris.6,2,0,300.66,385.9988889,10.56136154,5.842848863,69,1.344459204,0.354861111,21,,98,0,0,1,,0,1,0,Yes
1,Bris.6,3,0,339.33,385.9988889,5.446979185,4.415795256,57,1.110640212,0.354861111,18,,95,0,0,1,,0,1,0,Yes
1,Bris.6,4,0,351.21,385.9988889,3.99241363,2.567311143,64,1.247034624,0.354861111,24,,102,0,0,1,,0,1,0,Yes
1,Bris.6,5,0,309.6,385.9988889,9.32280302,5.9950041,64,1.247034624,0.354861111,27,,105,0,0,1,,0,1,0,Yes
1,Bris.6,6,0,338.65,385.9988889,5.531771213,4.646127035,56,1.091155296,0.354861111,0,,,,,,,,,,Yes
1,Bris.6,7,0,298.39,385.9988889,10.88171374,6.783807378,65,1.26651954,0.354861111,27,22,97,1,0,1,,0,1,0,Yes
1,Bris.6,8,0,318.95,385.9988889,8.06513313,5.900814525,60,1.16909496,0.354861111,23,,102,0,0,1,,0,1,0,Yes
1,Bris.6,9,0,322.92,385.9988889,7.542241351,3.727843139,73,1.422398868,0.354861111,22,,90,0,0,1,,0,1,0,Yes
1,Bris.6,10,0,277.84,385.9988889,13.89793382,8.15461681,67,1.305489372,0.354861111,17,,92,0,0,1,,0,1,0,Yes
1,Bris.6,11,0,294.43,385.9988889,11.44644476,7.135868328,65,1.26651954,0.354861111,13,,95,0,0,1,,0,1,0,Yes
1,Bris.6,12,0,348.61,385.9988889,4.30650199,2.071400788,74,1.441883784,0.354861111,20,,101,0,0,1,,0,1,0,Yes
1,Bris.6,13,0,291.13,385.9988889,11.9228867,8.169603181,62,1.208064792,0.354861111,15,,100,0,0,1,,0,1,0,Yes
