Genotype,Spores,Sample,Replicate,Time,Abs,Prop_inf,No_in_sample
Midland 252,300,3,2,1,0.2902,0,6
Midland 252,300,1,1,2,0.3175,0,6
Midland 252,300,1,2,2,0.2586,0,6
Midland 252,300,2,1,2,0.3045,0.8,5
Midland 252,300,2,2,2,0.2601,0.8,5
Midland 252,300,3,1,2,0.2962,0,6
Midland 252,300,3,2,2,0.3076,0,6
Midland 252,300,1,1,3,0.3411,0,6
Midland 252,300,1,2,3,0.2748,0,6
Midland 252,300,2,1,3,0.3258,0.8,5
Midland 252,300,2,2,3,0.2758,0.8,5
Midland 252,300,3,1,3,0.3163,0,6
Midland 252,300,3,2,3,0.3273,0,6
Midland 252,300,1,1,4,0.356,0,6
Midland 252,300,1,2,4,0.2912,0,6
Midland 252,300,2,1,4,0.344,0.8,5
Midland 252,300,2,2,4,0.2901,0.8,5
Midland 252,300,3,1,4,0.3326,0,6
Midland 252,300,3,2,4,0.3494,0,6
Midland 252,300,1,1,4.5,0.363,0,6
Midland 252,300,1,2,4.5,0.2986,0,6
Midland 252,300,2,1,4.5,0.3507,0.8,5
Midland 252,300,2,2,4.5,0.2984,0.8,5
Midland 252,300,3,1,4.5,0.3413,0,6
Midland 252,300,3,2,4.5,0.3603,0,6
A45,0,1,1,0,1.937,0,7
A45,0,1,2,0,1.5201,0,7
A45,0,2,1,0,1.7946,0,7
A45,0,2,2,0,1.5392,0,7
A45,0,3,1,0,1.7054,0,7
A45,0,3,2,0,1.3609,0,7
A45,0,1,1,1,0.2681,0,7
A45,0,1,2,1,0.2532,0,7
A45,0,2,1,1,0.282,0,7
A45,0,2,2,1,0.2551,0,7
A45,0,3,1,1,0.2745,0,7
A45,0,3,2,1,0.2501,0,7
A45,0,1,1,2,0.2841,0,7
A45,0,1,2,2,0.2669,0,7
A45,0,2,1,2,0.3004,0,7
A45,0,2,2,2,0.27,0,7
A45,0,3,1,2,0.2882,0,7
A45,0,3,2,2,0.2641,0,7
A45,0,1,1,3,0.2996,0,7
A45,0,1,2,3,0.282,0,7
A45,0,2,1,3,0.3174,0,7
A45,0,2,2,3,0.2824,0,7
A45,0,3,1,3,0.3024,0,7
A45,0,3,2,3,0.2736,0,7
A45,0,1,1,4,0.3155,0,7
A45,0,1,2,4,0.2981,0,7
A45,0,2,1,4,0.3333,0,7
A45,0,2,2,4,0.2993,0,7
A45,0,3,1,4,0.3171,0,7
A45,0,3,2,4,0.289,0,7
A45,0,1,1,4.5,0.3224,0,7
A45,0,1,2,4.5,0.3046,0,7
A45,0,2,1,4.5,0.3421,0,7
A45,0,2,2,4.5,0.3074,0,7
A45,0,3,1,4.5,0.3242,0,7
A45,0,3,2,4.5,0.2951,0,7
A45,150,1,1,0,1.5365,1,7
A45,150,1,2,0,1.5129,1,7
A45,150,2,1,0,1.5444,0.143,7
A45,150,2,2,0,1.508,0.143,7
A45,150,3,1,0,1.2669,0,7
A45,150,3,2,0,1.1878,0,7
A45,150,1,1,1,0.2393,1,7
A45,150,1,2,1,0.2507,1,7
A45,150,2,1,1,0.2452,0.143,7
A45,150,2,2,1,0.2466,0.143,7
A45,150,3,1,1,0.2176,0,7
A45,150,3,2,1,0.2543,0,7
A45,150,1,1,2,0.2527,1,7
A45,150,1,2,2,0.2627,1,7
A45,150,2,1,2,0.2616,0.143,7
